,Country,ADD,Pork1,Pork2,Poultry1,Poultry2,Beef1,Beef2,LambGoat1,LambGoat2,Fish1,Fish2,Eggs1,Eggs2,Dairy1,Dairy2,AnimalTotal,Wheat1,Wheat2,Rice1,Rice2,Soy1,Soy2,Nuts1,Nuts2,NonAnimalTotal,Difference Animal_Nonanimal
110,Democratic Republic of the Congo,,2.39,8.46,13.02,13.99,4.35,134.23,0.4,14.01,26.22,41.86,0.6,0.55,10.69,15.23,228.33,40.07,7.64,16.51,21.13,0,0,3.08,5.45,34.22,194.11
111,Zambia,,1.66,5.88,3.29,3.53,4.76,146.88,0.68,23.81,6.2,9.9,3.32,3.05,9.71,13.83,206.89,12.1,2.31,3.05,3.9,7.3,3.29,5.04,8.92,18.42,188.47
112,Cameroon,,1.47,5.2,3.29,3.53,4.17,128.68,1.4,49.03,14.71,23.49,0.4,0.37,15.27,21.75,232.05,22.6,4.31,23.85,30.52,0.64,0.29,9.29,16.44,51.56,180.49
113,Madagascar,,2.56,9.06,3.14,3.37,7.51,231.74,0.57,19.96,4.41,7.04,0.71,0.65,24.84,35.38,307.21,9.01,1.72,102.53,131.21,0,0,0.35,0.62,133.55,173.67
114,Malawi,,5.45,19.29,1.38,1.48,2.35,72.52,2.07,72.49,7.33,11.7,1.08,0.99,7.98,11.37,189.84,11.77,2.24,4.75,6.08,1.76,0.79,5.08,8.99,18.11,171.74
115,Guinea,,0.16,0.57,1.83,1.97,6.26,193.17,1.6,56.03,9.18,14.66,1.95,1.79,20.62,29.37,297.55,18.55,3.54,97.12,124.28,0,0,4.14,7.33,135.15,162.4
116,Nigeria,,1.47,5.2,1.73,1.86,2.33,71.9,2.72,95.25,16.03,25.59,3.46,3.18,7.91,11.27,214.25,20.82,3.97,28.23,36.13,2.6,1.17,6.93,12.27,53.53,160.72
117,Rwanda,,0.76,2.69,1.34,1.44,2.53,78.07,1.93,67.59,3.88,6.2,0.16,0.15,7.23,10.3,166.43,11.34,2.16,8.7,11.13,1.93,0.87,0.58,1.03,15.19,151.24
118,Philippines,,18.4,65.13,11.91,12.79,4.06,125.28,0.56,19.61,28.51,45.52,4.02,3.69,15.66,22.31,294.33,23.12,4.41,119.44,152.85,0.03,0.01,2.08,3.68,160.95,133.38
119,Ghana,,1.36,4.81,8.63,9.27,1.09,33.64,1.74,60.93,26.05,41.59,1.21,1.11,9.08,12.93,164.29,14.45,2.76,32.03,40.99,0.01,0,5.56,9.84,53.59,110.7
